ChassisSim Rig Replay Log
Baseline run
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
1.320000	5.456281	7.201704	0.017356	-0.000000	-0.228626	-0.228626	0.478836	0.478836	6.950181	6.950181	7.004251	7.004251	44.608448	44.608448	56.497777	56.497777
1.340000	7.171618	13.343156	-0.015865	-0.000000	3.007031	3.007031	2.368965	2.368965	10.356920	10.356920	10.342275	10.342275	97.767439	97.767439	118.726330	118.726330
1.360000	7.869462	17.976256	-0.048976	0.000000	6.070689	6.070689	4.080668	4.080668	12.451359	12.451359	12.376936	12.376936	141.958030	141.958030	170.348571	170.348571
1.380000	7.435333	20.390699	-0.077433	0.000000	8.518253	8.518253	5.360472	5.360472	12.898576	12.898576	12.775836	12.775836	170.227121	170.227121	202.990030	202.990030
1.400000	5.916710	20.125335	-0.096837	-0.000000	9.946004	9.946004	6.018383	6.018383	11.570581	11.570581	11.380213	11.380213	177.016261	177.016261	208.712354	208.712354
1.420000	3.524660	17.067022	-0.104054	-0.000000	10.144234	10.144234	5.869191	5.869191	8.502481	8.502481	8.350815	8.350815	156.726779	156.726779	185.362323	185.362323
1.440000	0.610260	11.492504	-0.098517	-0.000000	8.830462	8.830462	4.805283	4.805283	4.270575	4.270575	4.090595	4.090595	116.161686	116.161686	134.889761	134.889761
1.460000	-2.382798	4.051134	-0.079263	-0.000000	6.154556	6.154556	2.959530	2.959530	-0.674854	-0.674854	-0.879426	-0.879426	55.608757	55.608757	60.048834	60.048834
1.480000	-4.983900	-4.292358	-0.045101	-0.000000	2.351048	2.351048	0.540167	0.540167	-5.661484	-5.661484	-5.803217	-5.803217	-18.794089	-18.794089	-28.357196	-28.357196
1.500000	-6.770324	-12.362849	0.000007	0.000000	-2.123541	-2.123541	-2.126828	-2.126828	-9.923300	-9.923300	-9.952909	-9.952909	-96.357085	-96.357085	-118.716314	-118.716314
1.520000	-7.439392	-18.937897	0.048308	0.000000	-6.618649	-6.618649	-4.669802	-4.669802	-12.761945	-12.761945	-12.684113	-12.684113	-164.701276	-164.701276	-197.982728	-197.982728
1.540000	-6.865363	-22.932529	0.091777	-0.000000	-10.415773	-10.415773	-6.690420	-6.690420	-13.682774	-13.682774	-13.524641	-13.524641	-212.221664	-212.221664	-252.880645	-252.880645
1.560000	-5.129803	-23.582170	0.123903	-0.000000	-12.856170	-12.856170	-7.816131	-7.816131	-12.482308	-12.482308	-12.260833	-12.260833	-229.895571	-229.895571	-272.027203	-272.027203
1.580000	-2.517706	-20.594635	0.139326	0.000000	-13.443553	-13.443553	-7.792908	-7.792908	-9.276710	-9.276710	-8.992650	-8.992650	-212.332434	-212.332434	-248.232233	-248.232233
1.600000	0.522925	-14.253382	0.134413	0.000000	-12.026209	-12.026209	-6.554618	-6.554618	-4.420049	-4.420049	-4.154353	-4.154353	-156.393358	-156.393358	-180.654838	-180.654838
1.620000	3.453776	-5.407313	0.108266	0.000000	-8.473715	-8.473715	-4.093743	-4.093743	1.123969	1.123969	1.385668	1.385668	-75.250311	-75.250311	-81.835842	-81.835842
1.640000	5.740439	4.636403	0.062451	0.000000	-3.340865	-3.340865	-0.828651	-0.828651	6.629903	6.629903	6.819694	6.819694	25.184724	25.184724	37.986502	37.986502
1.660000	6.952118	14.288453	0.002212	-0.000000	2.684547	2.684547	2.771852	2.771852	11.141182	11.141182	11.193422	11.193422	128.560401	128.560401	158.875237	158.875237
1.680000	6.848112	21.914342	-0.062506	-0.000000	8.632225	8.632225	6.114221	6.114221	13.846924	13.846924	13.743279	13.743279	217.030014	217.030014	260.861250	260.861250
1.700000	5.433049	26.115725	-0.120035	-0.000000	13.450528	13.450528	8.606573	8.606573	14.214516	14.214516	13.975362	13.975362	273.703922	273.703922	324.823314	324.823314
1.720000	2.967340	25.994065	-0.159705	-0.000000	16.197153	16.197153	9.753797	9.753797	12.112324	12.112324	11.763743	11.763743	286.175711	286.175711	335.891560	335.891560
1.740000	-0.072923	21.360977	-0.173187	-0.000000	16.310400	16.310400	9.293647	9.293647	7.751301	7.751301	7.387646	7.387646	246.025025	246.025025	286.211600	286.211600
1.760000	-3.082484	12.821352	-0.157985	-0.000000	13.439850	13.439850	7.044134	7.044134	2.058202	2.058202	1.697565	1.697565	162.915361	162.915361	185.037000	185.037000
1.780000	-5.445529	1.709333	-0.114704	-0.000000	7.986440	7.986440	3.387532	3.387532	-4.077722	-4.077722	-4.413469	-4.413469	45.477367	45.477367	42.671917	42.671917
1.800000	-6.663849	-10.101500	-0.046454	0.000000	0.733352	0.733352	-1.113646	-1.113646	-9.576986	-9.576986	-9.768120	-9.768120	-88.321447	-88.321447	-115.091506	-115.091506
1.820000	-6.467758	-20.492371	0.036248	-0.000000	-7.118609	-7.118609	-5.659050	-5.659050	-13.389477	-13.389477	-13.361819	-13.361819	-214.102622	-214.102622	-260.223247	-260.223247
