ChassisSim Rig Replay Log
R LS Bump 13K N/m/s, bypass 35mm
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
1.160000	-7.260000	-12.085213	0.015568	-0.000000	-2.538051	-2.538051	-1.897535	-1.897535	-9.630844	-9.630844	-9.625040	-9.625040	-72.553439	-72.553439	-88.307568	-88.307568
1.180000	-8.274740	-15.786500	0.038416	0.000000	-4.618503	-4.618503	-3.057542	-3.057542	-11.616424	-11.616424	-11.555954	-11.555954	-103.334619	-103.334619	-123.763012	-123.763012
1.200000	-8.297413	-17.887453	0.058161	0.000000	-6.360225	-6.360225	-3.984219	-3.984219	-12.302438	-12.302438	-12.214151	-12.214151	-124.646935	-124.646935	-148.687858	-148.687858
1.220000	-7.309405	-18.033662	0.072420	-0.000000	-7.503866	-7.503866	-4.531813	-4.531813	-11.560133	-11.560133	-11.457580	-11.457580	-132.985368	-132.985368	-158.315844	-158.315844
1.240000	-5.417578	-16.073392	0.079497	-0.000000	-7.842864	-7.842864	-4.594990	-4.594990	-9.422218	-9.422218	-9.285234	-9.285234	-125.971126	-125.971126	-148.494031	-148.494031
1.260000	-2.847982	-12.119621	0.075586	0.000000	-7.290532	-7.290532	-4.268517	-4.268517	-5.996794	-5.996794	-5.784710	-5.784710	-99.896739	-99.896739	-113.798643	-113.798643
1.280000	0.076838	-6.574559	0.056396	0.000000	-5.692243	-5.692243	-3.481898	-3.481898	-1.749248	-1.749248	-1.528815	-1.528815	-58.982079	-58.982079	-63.530219	-63.530219
1.300000	2.975449	-0.069433	0.024260	0.000000	-3.185874	-3.185874	-2.131660	-2.131660	2.791588	2.791588	2.785066	2.785066	-7.882299	-7.882299	-9.700685	-9.700685
1.320000	5.456281	6.631353	-0.009547	0.000000	-0.153334	-0.153334	-0.427449	-0.427449	6.993812	6.993812	6.871858	6.871858	46.009202	46.009202	51.466525	51.466525
1.340000	7.171618	12.692317	-0.037378	0.000000	2.991153	2.991153	1.446895	1.446895	10.283820	10.283820	10.259135	10.259135	95.547818	95.547818	115.528809	115.528809
1.360000	7.869462	17.282774	-0.063362	0.000000	5.910543	5.910543	3.206365	3.206365	12.310660	12.310660	12.349078	12.349078	137.586472	137.586472	169.275549	169.275549
1.380000	7.435333	19.694533	-0.090992	0.000000	8.305700	8.305700	4.507279	4.507279	12.789784	12.789784	12.740144	12.740144	166.809514	166.809514	201.656465	201.656465
1.400000	5.916710	19.469324	-0.112678	0.000000	9.774721	9.774721	5.277658	5.277658	11.514643	11.514643	11.207736	11.207736	175.264283	175.264283	202.265964	202.265964
1.420000	3.524660	16.517697	-0.114116	0.000000	9.974953	9.974953	5.456197	5.456197	8.402883	8.402883	8.040457	8.040457	153.679673	153.679673	173.588715	173.588715
1.440000	0.610260	11.135610	-0.094194	0.000000	8.576722	8.576722	4.608964	4.608964	4.085212	4.085212	4.039958	4.039958	110.410003	110.410003	132.785649	132.785649
1.460000	-2.382798	3.945438	-0.066867	0.000000	5.883470	5.883470	2.991548	2.991548	-0.802119	-0.802119	-0.760939	-0.760939	51.571517	51.571517	64.507458	64.507458
1.480000	-4.983900	-4.148408	-0.039447	-0.000000	2.273204	2.273204	0.665790	0.665790	-5.582469	-5.582469	-5.679406	-5.679406	-16.437736	-16.437736	-23.635845	-23.635845
1.500000	-6.770324	-12.018183	-0.005142	-0.000000	-1.907481	-1.907481	-2.000858	-2.000858	-9.689787	-9.689787	-9.857298	-9.857298	-89.130341	-89.130341	-115.087102	-115.087102
1.520000	-7.439392	-18.471493	0.039970	0.000000	-6.225208	-6.225208	-4.529912	-4.529912	-12.517971	-12.517971	-12.550624	-12.550624	-157.084656	-157.084656	-192.954008	-192.954008
1.540000	-6.865363	-22.436836	0.087524	0.000000	-10.024669	-10.024669	-6.500554	-6.500554	-13.510238	-13.510238	-13.330930	-13.330930	-206.814922	-206.814922	-245.550482	-245.550482
1.560000	-5.129803	-23.149154	0.123381	0.000000	-12.555108	-12.555108	-7.605327	-7.605327	-12.368629	-12.368629	-12.072814	-12.072814	-226.338021	-226.338021	-264.859581	-264.859581
1.580000	-2.517706	-20.302349	0.137861	-0.000000	-13.221986	-13.221986	-7.678576	-7.678576	-9.191761	-9.191761	-8.853903	-8.853903	-209.679773	-209.679773	-242.985612	-242.985612
1.600000	0.522925	-14.177302	0.124393	0.000000	-11.821645	-11.821645	-6.924986	-6.924986	-4.311779	-4.311779	-3.869492	-3.869492	-153.055306	-153.055306	-169.894953	-169.894953
