ChassisSim Rig Replay Log
R LS Bump 16K N/m/s, bypass 45mm, R LS Rebound 12K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
1.200000	-8.257795	-16.910378	0.080787	-0.000000	-6.180256	-6.180256	-2.826493	-2.826493	-12.127935	-12.127935	-12.050760	-12.050760	-120.467976	-120.467976	-144.019750	-144.019750
1.220000	-7.196729	-16.979769	0.090026	-0.000000	-7.202730	-7.202730	-3.537024	-3.537024	-11.305505	-11.305505	-11.136934	-11.136934	-128.173123	-128.173123	-149.949052	-149.949052
1.240000	-5.244850	-15.060071	0.087882	0.000000	-7.433772	-7.433772	-3.881797	-3.881797	-9.079524	-9.079524	-8.882476	-8.882476	-119.904909	-119.904909	-138.755405	-138.755405
1.260000	-2.636431	-11.280678	0.072960	0.000000	-6.809360	-6.809360	-3.810351	-3.810351	-5.613204	-5.613204	-5.501708	-5.501708	-93.407799	-93.407799	-109.679020	-109.679020
1.280000	0.300094	-6.023107	0.047605	-0.000000	-5.237248	-5.237248	-3.334278	-3.334278	-1.451863	-1.451863	-1.313693	-1.313693	-55.368880	-55.368880	-62.300615	-62.300615
1.300000	3.180735	0.112722	0.012436	-0.000000	-2.875630	-2.875630	-2.444966	-2.444966	2.966971	2.966971	3.085169	3.085169	-7.505700	-7.505700	-4.632564	-4.632564
1.320000	5.615319	6.394659	-0.026688	0.000000	-0.007920	-0.007920	-0.981119	-0.981119	7.074286	7.074286	6.907627	6.907627	44.683305	44.683305	48.221266	48.221266
1.340000	7.261587	12.044469	-0.058082	0.000000	2.965072	2.965072	0.655996	0.655996	10.235297	10.235297	10.072267	10.072267	92.056320	92.056320	106.054695	106.054695
1.360000	7.876580	16.306618	-0.079548	0.000000	5.657045	5.657045	2.286245	2.286245	12.065651	12.065651	12.068965	12.068965	130.157693	130.157693	158.844307	158.844307
1.380000	7.357377	18.520669	-0.099904	0.000000	7.821990	7.821990	3.560369	3.560369	12.406235	12.406235	12.439355	12.439355	157.218851	157.218851	193.031404	193.031404
1.400000	5.763976	18.248361	-0.118399	-0.000000	9.180732	9.180732	4.387533	4.387533	11.110500	11.110500	10.858277	10.858277	166.816646	166.816646	193.975665	193.975665
1.420000	3.319079	15.402898	-0.119149	0.000000	9.403851	9.403851	4.742549	4.742549	8.045912	8.045912	7.606351	7.606351	147.854473	147.854473	163.649775	163.649775
1.440000	0.382624	10.294146	-0.090263	-0.000000	8.040798	8.040798	4.471800	4.471800	3.714263	3.714263	3.415711	3.415711	104.613121	104.613121	116.191905	116.191905
1.460000	-2.597221	3.561214	-0.040945	-0.000000	5.295395	5.295395	3.521302	3.521302	-1.238587	-1.238587	-1.209669	-1.209669	43.250799	43.250799	53.757115	53.757115
1.480000	-5.150799	-3.931672	0.005364	-0.000000	1.695133	1.695133	1.640224	1.640224	-5.927579	-5.927579	-5.625394	-5.625394	-23.339321	-23.339321	-16.991548	-16.991548
1.500000	-6.862003	-11.169668	0.036384	-0.000000	-2.174287	-2.174287	-0.694484	-0.694484	-9.669991	-9.669991	-9.609230	-9.609230	-86.783706	-86.783706	-103.461149	-103.461149
1.520000	-7.439720	-17.081816	0.062646	0.000000	-5.930492	-5.930492	-3.125119	-3.125119	-12.091024	-12.091024	-12.265237	-12.265237	-144.433288	-144.433288	-182.756570	-182.756570
1.540000	-6.773098	-20.677551	0.098018	0.000000	-9.261492	-9.261492	-5.057847	-5.057847	-12.906874	-12.906874	-12.968621	-12.968621	-190.915687	-190.915687	-235.260923	-235.260923
1.560000	-4.959550	-21.234941	0.135887	-0.000000	-11.642317	-11.642317	-6.135962	-6.135962	-11.809523	-11.809523	-11.530470	-11.530470	-213.598842	-213.598842	-250.036127	-250.036127
1.580000	-2.298141	-18.484375	0.150830	0.000000	-12.350235	-12.350235	-6.532452	-6.532452	-8.673447	-8.673447	-8.027756	-8.027756	-199.211776	-199.211776	-218.494416	-218.494416
1.600000	0.753481	-12.724376	0.123409	-0.000000	-10.963840	-10.963840	-6.164358	-6.164358	-3.758900	-3.758900	-3.263298	-3.263298	-141.488008	-141.488008	-153.693622	-153.693622
1.620000	3.653851	-4.788942	0.060273	0.000000	-7.370348	-7.370348	-4.843367	-4.843367	1.807522	1.807522	1.855547	1.855547	-58.540181	-58.540181	-69.390069	-69.390069
